Métrique,Valeurs,Image
EN,5.941228307062454,DDFM_EM.png
SD,66.18362414777724,DDFM_EM.png
MI,0.8768731317005635,DDFM_EM.png
VIF,0.10810403785555492,DDFM_EM.png
QAB/F,0.025314936289011145,DDFM_EM.png
SSIM,0.8733515339071356,DDFM_EM.png
EN,5.588850826188687,DDFM_PALM.png
SD,48.58713379451318,DDFM_PALM.png
MI,1.0494504210656999,DDFM_PALM.png
VIF,0.2613645080469905,DDFM_PALM.png
QAB/F,-0.0029969311142275246,DDFM_PALM.png
SSIM,0.9116643268758009,DDFM_PALM.png
EN,5.885780135812129,PALM.png
SD,52.61527994483275,PALM.png
MI,1.0318092599207662,PALM.png
VIF,0.25431403390153035,PALM.png
QAB/F,-0.04214867387104092,PALM.png
SSIM,0.9085876035156332,PALM.png
EN,4.625935562121521,mri_super_resolution.png
SD,62.88878900388139,mri_super_resolution.png
MI,1.7882509692096522,mri_super_resolution.png
VIF,1.0106446958199042,mri_super_resolution.png
QAB/F,1.0033610684247285,mri_super_resolution.png
SSIM,1.1074017622041465,mri_super_resolution.png
EN,6.3452697398699796,us.png
SD,21.177984331576766,us.png
MI,2.0901844243225742,us.png
VIF,1.043052163509928,us.png
QAB/F,1.0033610684247285,us.png
SSIM,1.1074017622041465,us.png
EN,5.945486004022479,us_denoised.png
SD,35.323904110161585,us_denoised.png
MI,0.8987912743479591,us_denoised.png
VIF,0.17114760089606004,us_denoised.png
QAB/F,-0.14481711203190012,us_denoised.png
SSIM,0.8269997537788748,us_denoised.png
